sdf,area,t,u,u__x,u__t,u__x__x,u__t__t,wave_equation,true_wave_equation,pred_wave_equation,lambda_wave_equation,Points:0,Points:1,Points:2,Point ID
0.0830087,0.000997331,6.13297,0.0703087,-0.842375,0.0893111,-0.125903,-0.126625,-0.000721484,0,-0.000721484,1,3.05858,0,0,0
1.27157,0.000997331,5.98829,0.636452,-0.198475,1.1877,-0.642349,-0.642985,-0.000635922,0,-0.000635922,1,1.87002,0,0,1
0.0282096,0.000997331,4.03695,-0.038886,-1.4037,0.00534433,0.0346957,0.0352755,0.000579759,0,0.000579759,1,0.0282096,0,0,2
0.687404,0.000997331,1.11579,0.848477,-1.03466,-0.291603,-0.84721,-0.84675,0.000459611,0,0.000459611,1,2.45419,0,0,3
1.01235,0.000997331,3.53905,-1.10976,-0.691088,-0.453765,1.10969,1.10985,0.000152349,0,0.000152349,1,1.01235,0,0,4
1.23349,0.000997331,5.59824,0.134601,-0.0507389,1.3268,-0.142624,-0.142254,0.000370443,0,0.000370443,1,1.9081,0,0,5
0.00173432,0.000997331,5.66983,0.000810735,-0.234942,0.00626872,-0.000234947,-0.00187789,-0.00164294,0,-0.00164294,1,3.13986,0,0,6
1.5394,0.000997331,3.44867,-1.2535,0.0385339,-0.650984,1.24436,1.24398,-0.00038588,0,-0.00038588,1,1.6022,0,0,7
1.11639,0.000997331,5.78926,0.364564,0.184131,1.21449,-0.368281,-0.368044,0.000236988,0,0.000236988,1,1.11639,0,0,8
0.114795,0.000997331,1.63857,0.10673,0.921525,-0.120303,-0.106762,-0.107534,-0.000772558,0,-0.000772558,1,0.114795,0,0,9
0.791934,0.000997331,3.3231,-0.829434,0.81553,-0.572941,0.837301,0.836837,-0.000463903,0,-0.000463903,1,2.34966,0,0,10
0.314639,0.000997331,3.20854,-0.330075,-1.01329,-0.288906,0.336718,0.337328,0.000609219,0,0.000609219,1,0.314639,0,0,11
1.32899,0.000997331,5.90577,0.54481,0.138018,1.25583,-0.554612,-0.554725,-0.000112712,0,-0.000112712,1,1.32899,0,0,12
1.42458,0.000997331,1.58913,0.970903,-0.144344,-1.0079,-0.971533,-0.971325,0.000207961,0,0.000207961,1,1.71701,0,0,13
1.31693,0.000997331,4.06515,-1.35591,-0.352926,0.185878,1.3585,1.3579,-0.000602722,0,-0.000602722,1,1.31693,0,0,14
0.326124,0.000997331,4.43335,-0.394942,1.1693,0.220841,0.383778,0.383565,-0.000213206,0,-0.000213206,1,2.81547,0,0,15
1.08957,0.000997331,1.99706,0.44005,0.229062,-1.17454,-0.435973,-0.435837,0.000135839,0,0.000135839,1,1.08957,0,0,16
0.837649,0.000997331,0.61026,1.03492,-0.932508,0.182818,-1.03607,-1.0367,-0.000629783,0,-0.000629783,1,2.30394,0,0,17
