Point ID,area,continuity,lambda_continuity,lambda_momentum_x,lambda_momentum_y,momentum_x,momentum_y,p,p__x,p__y,Points_0,Points_1,Points_2,Points_Magnitude,pred_continuity,pred_momentum_x,pred_momentum_y,sdf,sdf__x,sdf__y,true_continuity,true_momentum_x,true_momentum_y,u,u__x,u__x__x,u__x__y,u__y,u__y__y,v,v__x,v__x__x,v__x__y,v__y,v__y__x,v__y__y
0,2.5e-06,0.106546,0.0279867,0.0279867,0.0279867,-0.000876114,0.0584714,-0.559345,0.446453,-1.62311,0.0220133,0.0155826,0,0.0269704,0.106546,-0.000876114,0.0584714,0.0279867,-1,0,0,0,0,-0.186508,-1.09345,352.821,-452.653,1.79434,1408.51,-0.0549008,-9.24914,-164.434,-329.262,1.19999,-329.262,449.806
1,2.5e-06,0.32002,0.00741994,0.00741994,0.00741994,0.463952,0.417296,-0.527292,4.92747,2.50766,0.0425801,0.0334455,0,0.0541448,0.32002,0.463952,0.417296,0.00741994,-1,0,0,0,0,-0.0987578,-2.55618,4476.78,-3258.32,8.68783,2124.46,-0.348987,-28.9454,3763.09,-4266.49,2.8762,-4266.49,3149.58
2,2.5e-06,0.210169,0.00657899,0.00657899,0.00657899,0.0347727,0.0109257,-0.54479,0.0345004,0.0102316,-0.0310728,-0.043421,0,0.0533939,0.210169,0.0347727,0.0109257,0.00657899,0,1,0,0,0,0.00184321,-0.0914534,-6.81953,-9.59767,0.048534,2.10496,0.00270407,0.105005,-10.0645,5.71125,0.301623,5.71126,6.10136
3,2.5e-06,0.0268633,0.0155144,0.0155144,0.0155144,0.0347,-0.118656,-0.550787,0.0444988,-0.318822,-0.0344856,0.016626,0,0.0382842,0.0268633,0.0347,-0.118656,0.0155144,1,0,0,0,0,-0.0367049,-3.62997,-29.464,-75.167,-1.72538,-4.36646,0.0862016,3.0107,-137.611,15.022,3.65683,15.022,69.5492
4,2.5e-06,0.445573,0.0164606,0.0164606,0.0164606,-0.410788,0.0255342,-0.565082,2.00563,0.746007,0.0322083,0.0335394,0,0.0465002,0.445573,-0.410788,0.0255342,0.0164606,0,-1,0,0,0,-0.00318387,-9.14385,-463.976,-327.782,22.2119,1116.94,-0.0953916,-15.9356,-1471.83,526.208,9.58942,526.208,256.885
5,2.5e-06,0.261433,0.0226708,0.0226708,0.0226708,0.150547,0.230278,-0.562227,1.05103,-1.66376,0.0273292,0.019609,0,0.0336363,0.261433,0.150547,0.230278,0.0226708,-1,0,0,0,0,-0.178868,-1.2387,512.394,-755.006,4.92488,1702.45,-0.105031,-11.692,-166.762,-466.12,1.50014,-466.12,740.458
6,2.5e-06,0.159022,0.0179037,0.0179037,0.0179037,0.0311092,0.00279961,-0.544711,0.028166,0.000118768,-0.0304166,-0.0320964,0,0.0442193,0.159022,0.0311092,0.00279961,0.0179037,0,1,0,0,0,0.00202411,-0.280658,-15.6112,-24.2543,-0.0327001,-16.182,0.00685497,0.198472,-19.3158,13.5473,0.439679,13.5473,19.0567
7,2.5e-06,0.206128,0.00703605,0.00703605,0.00703605,0.0328631,0.00729011,-0.544692,0.0325101,0.00673646,-0.0282833,-0.042964,0,0.0514378,0.206128,0.0328631,0.00729011,0.00703605,0,1,0,0,0,0.00157353,-0.112347,-4.68227,-11.5268,0.0192798,-1.02741,0.00310222,0.0783634,-10.5747,4.07208,0.318475,4.07209,7.69222
8,2.5e-06,0.387819,0.00628881,0.00628881,0.00628881,-0.0876695,0.125934,-0.542725,-0.415698,0.031112,0.0437112,0.003632,0,0.0438618,0.387819,-0.0876695,0.125934,0.00628881,-1,0,0,0,0,-0.0238819,5.36097,-616.139,426.238,-1.74508,-124.836,-0.0310765,7.82402,1066.38,639.49,-4.97315,639.49,-430.44
9,2.5e-06,-0.0044713,0.00982981,0.00982981,0.00982981,-0.20422,0.322062,-0.56175,2.28814,0.48665,0.0308538,0.0401702,0,0.0506518,-0.0044713,-0.20422,0.322062,0.00982981,0,-1,0,0,0,0.185413,-7.63459,-1081.72,307.116,33.1511,3605.49,-0.0194245,-7.60269,-1234.13,1096.06,7.63012,1096.06,-301.628
