sdf,sdf__x,sdf__y,area,u,v,p,u__y,u__x,v__y,v__x,p__y,p__x,continuity,u__y__y,u__x__y,u__x__x,v__y__y,v__y__x,v__x__x,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
74.949,0,1,44.6387,0.20665,0.09826,0.104396,0.000346426,0.00333848,-0.000304361,-9.96487e-05,-0.000965713,-0.00160644,0.00303412,0.000454919,0.000232026,0.000106227,-0.0014237,-0.000777397,-0.000417866,0.000932993,-0.00181877,0,0,0,0.00303412,0.000932993,-0.00181877,74.949,74.949,74.949,156.975,-86.0946,0,0
10.1701,0,-1,44.6387,0.266823,0.00344229,0.180844,0.00507706,-0.00310399,0.00362316,-0.0026199,-0.0046631,0.00557578,0.000519169,0.000375598,-0.000439007,0.000509819,0.00034623,-0.000412846,0.000497123,-0.00536821,0.00454686,0,0,0,0.000519169,-0.00536821,0.00454686,10.1701,10.1701,10.1701,125.512,149.181,0,1
102.814,0.997697,0.0678282,44.6387,-0.219737,-0.0759045,0.160057,0.00522732,0.00342814,-0.00553759,0.00275879,-0.00446329,0.00148751,-0.00210945,0.00131811,-0.000418343,0.000181148,0.0014027,-0.000333703,0.000100116,-0.0108415,-0.00237308,0,0,0,-0.00210945,-0.0108415,-0.00237308,102.814,102.814,102.814,64.8454,22.1473,0,2
24.966,0.979608,-0.200917,44.6387,0.415986,-0.0528178,0.145179,-0.00538529,0.0061047,-0.00255806,0.0132713,0.00131311,-0.00649695,0.00354664,-2.94409e-05,0.000103126,-0.00176436,-3.38524e-05,0.000215678,-0.00286775,0.0133114,0.00234314,0,0,0,0.00354664,0.0133114,0.00234314,24.966,24.966,24.966,-13.2745,-134.02,0,3
30.6465,-0,1,44.6387,0.00183487,0.1015,-0.179929,-0.0102397,-0.0096887,0.00815261,0.00394428,0.0128592,0.0120733,-0.00153608,0.000826451,0.000580787,0.000417781,0.00100845,0.00071087,0.000484746,0.00608377,0.00756619,0,0,0,-0.00153608,0.00608377,0.00756619,30.6465,30.6465,30.6465,-116.813,77.8597,0,4
47.5331,0.688587,0.725154,44.6387,0.186302,-0.0765744,0.170092,0.00680735,0.00148338,-0.00106042,-0.00495532,-0.0014479,0.00998013,0.000422962,-8.49056e-05,0.000181487,0.0036921,5.17354e-05,0.000271695,0.00172992,-0.005125,0.00439685,0,0,0,0.000422962,-0.005125,0.00439685,47.5331,47.5331,47.5331,-5.00076,81.6819,0,5
117.481,0,-1,44.6387,0.154881,-0.0296178,0.152574,0.00262016,0.0034329,-0.00132169,0.000311187,-0.000558476,-0.000345094,0.00211121,-3.24972e-05,2.30639e-05,-2.45695e-05,0.000279593,-7.98125e-05,1.56358e-05,-0.000950343,0.000238002,0,0,0,0.00211121,-0.000950343,0.000238002,117.481,117.481,117.481,145.697,41.8703,0,6
67.5708,0.998435,0.0559282,44.6387,-0.226,-0.036585,0.19938,-0.0111515,-0.00464046,0.0052323,0.0114351,-0.00123886,-0.000598973,0.000591842,0.000959127,0.00129453,0.00186799,-0.000772902,-0.00109969,-0.00176958,0.00592877,-0.0106132,0,0,0,0.000591842,0.00592877,-0.0106132,67.5708,67.5708,67.5708,29.7336,-45.1263,0,7
58.2849,0.968599,0.24863,44.6387,0.0240242,-0.166402,0.186445,0.00873604,-0.00519528,0.00143657,-0.00370338,-0.00182319,0.00860068,-0.00375871,5.4822e-05,-0.000727198,0.00233977,0.000190728,-0.000216151,0.00051912,-0.00103199,-0.00460942,0,0,0,-0.00375871,-0.00103199,-0.00460942,58.2849,58.2849,58.2849,18.7233,61.7045,0,8
22.0042,0,1,44.6387,0.52666,0.0798264,0.146008,-0.00560201,0.0011301,-0.00233848,0.00676774,0.000119318,-0.00552192,-0.00120838,-2.20477e-05,7.56182e-05,-0.000466017,-6.76171e-06,-1.08632e-05,-0.0014313,0.00425456,-0.0051025,0,0,0,-0.00120838,0.00425456,-0.0051025,22.0042,22.0042,22.0042,4.14459,-139.039,0,9
