sdf,sdf__x,sdf__y,area,u,v,p,u__x,u__y,v__x,v__y,p__x,p__y,continuity,u__x__x,u__x__y,u__y__y,v__x__x,v__x__y,v__y__y,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
10.8627,-0.38417,-0.923262,1802.93,99.1304,100.44,-2286,0.100718,-0.0592528,0.0972991,-0.0480705,-1.55078,-0.577432,0.0526477,1.14074e-05,-2.85896e-05,7.16456e-05,5.92455e-06,-1.49243e-05,3.75945e-05,4.19348,2.55143,0,0,0,0.0526477,4.19348,2.55143,10.8627,10.8627,10.8627,1284.97,511.169,0,0
21.2802,0.387745,0.921767,1802.93,74.7018,75.2161,-805.348,0.114966,-0.113786,0.142023,-0.0849397,-1.25358,1.21734,0.0300263,-0.000745211,-0.000841676,-0.000950582,0.000442459,0.000500025,0.000565216,5.62657,-1.34479,0,0,0,0.0300263,5.62657,-1.34479,21.2802,21.2802,21.2802,346.476,-306.401,0,1
42.2176,0.921767,-0.387745,1802.93,171.033,139.006,-1798.34,0.0966673,-0.123107,0.175847,-0.0504064,-1.2537,1.17533,0.0462609,-1.22926e-05,-6.22764e-06,-3.15516e-06,2.92673e-05,1.4816e-05,7.49981e-06,24.0305,-2.21214,0,0,0,0.0462609,24.0305,-2.21214,42.2176,42.2176,42.2176,506.308,-991.727,0,2
39.5416,0.802703,-0.596379,1802.93,294.532,296.79,-3181.45,0.114486,-0.114332,0.142224,-0.0847183,-1.25949,1.21073,0.0297675,-0.000476096,-0.000540953,-0.000614644,0.000230485,0.000261902,0.000297602,17.5428,-1.82625,0,0,0,0.0297675,17.5428,-1.82625,39.5416,39.5416,39.5416,1368.95,-1205.31,0,3
136.879,0,1,1802.93,72.8665,-182.859,-1926.65,0.187615,-0.129766,0.282013,-0.0160953,0.135913,1.11882,0.171519,-2.84269e-05,1.29929e-05,-5.93862e-06,-5.84703e-05,2.67298e-05,-1.22195e-05,25.1902,35.3863,0,0,0,0.171519,25.1902,35.3863,136.879,136.879,136.879,-741.523,-1633.75,0,4
48.3464,0,-1,1802.93,-162.486,-418.648,-4869.64,0.0421887,-0.0754336,0.30869,-0.100279,1.69931,-2.05729,-0.05809,4.13164e-06,1.95748e-06,9.27393e-07,-3.4429e-05,-1.62448e-05,-7.66515e-06,-11.1792,27.5314,0,0,0,-0.05809,-11.1792,27.5314,48.3464,48.3464,48.3464,-802.072,1705.37,0,5
218.171,0,1,1802.93,-22.0046,-396.13,-2722.72,0.109333,-0.0822597,0.384686,-0.0841428,1.61748,0.328481,0.0251901,0.0017561,-0.00154939,0.00136702,-0.00113507,0.00100136,-0.000883399,42.1488,13.3998,0,0,0,0.0251901,42.1488,13.3998,218.171,218.171,218.171,-1369.21,-1552.46,0,6
200.075,0,1,1802.93,391.099,395.707,-4227.36,0.113261,-0.115781,0.134277,-0.09401,-1.27844,1.18903,0.0192508,-8.8006e-06,-1.03895e-05,-1.22653e-05,-1.54298e-05,-1.82155e-05,-2.15042e-05,19.3253,-3.0463,0,0,0,0.0192508,19.3253,-3.0463,200.075,200.075,200.075,1847.52,-1570.56,0,7
159.222,-0.596379,-0.802703,1802.93,256.13,214.129,-2703.5,0.110315,-0.115888,0.191696,-0.0420946,-1.30378,1.14785,0.0682202,-2.32064e-07,-1.16612e-07,-5.78769e-08,-1.22403e-07,-4.42807e-08,-1.12131e-08,41.0043,4.10983,0,0,0,0.0682202,41.0043,4.10983,159.222,159.222,159.222,798.729,-1449.81,0,8
265.904,-0.389979,-0.920824,1802.93,324.614,344.53,-3714.55,0.0969921,-0.141378,0.117675,-0.119643,-1.35415,1.11535,-0.022651,7.8139e-11,7.37026e-11,6.95268e-11,1.95289e-10,1.8419e-10,1.73732e-10,-6.60275,-17.477,0,0,0,-0.022651,-6.60275,-17.477,265.904,265.904,265.904,1962.14,-949.955,0,9
257.173,0,1,1802.93,-43.6062,-462.696,-2981.33,0.116003,-0.0882947,0.384798,-0.0827614,1.64585,0.309673,0.0332419,8.38792e-05,-8.40785e-05,8.42795e-05,-9.52244e-05,9.52503e-05,-9.5277e-05,28.7153,27.0388,0,0,0,0.0332419,28.7153,27.0388,257.173,257.173,257.173,-1527.81,-1513.46,0,10
43.209,-0.390637,-0.920545,1802.93,-136.671,-512.67,-4187.82,0.0654332,-0.0635656,0.326722,-0.075299,2.15876,-1.64186,-0.00986587,-5.95875e-06,-1.18744e-05,-2.36634e-05,-4.64028e-07,-9.1353e-07,-1.79854e-06,-7.85384,27.1388,0,0,0,-0.00986587,-7.85384,27.1388,43.209,43.209,43.209,-1407.36,701.287,0,11
116.132,0,1,1802.93,452.581,464.268,-4929.22,0.110371,-0.119532,0.126103,-0.104655,-1.34951,1.09739,0.00571518,3.08813e-06,4.30526e-06,6.00205e-06,-3.56951e-06,-4.97713e-06,-6.93992e-06,11.4288,-6.9596,0,0,0,0.00571518,11.4288,-6.9596,116.132,116.132,116.132,2308.69,-1654.5,0,12
294.281,0.921384,-0.388654,1802.93,154.647,44.7521,-1773.67,0.132314,-0.11233,0.171996,-0.0314824,-0.866951,1.29482,0.100831,5.80269e-05,2.62027e-07,6.75579e-10,9.35164e-05,3.8659e-07,5.92865e-10,24.4513,9.38068,0,0,0,0.100831,24.4513,9.38068,294.281,294.281,294.281,10.5874,-1364.28,0,13
304.448,0.656487,-0.754337,1802.93,419.5,449.183,-4890.46,0.100486,-0.133773,0.110968,-0.135119,-1.3683,1.08614,-0.0346333,-4.66417e-05,-0.000112765,-0.000272627,1.30217e-05,3.14821e-05,7.61127e-05,-18.951,-21.7194,0,0,0,-0.0346333,-18.951,-21.7194,304.448,304.448,304.448,2690.69,-1114.75,0,14
3.7263,0.387745,0.921767,1802.93,-92.085,-385.856,-2885.41,0.0709874,-0.0472094,0.332536,-0.061924,2.2459,-1.40256,0.00906346,1.62244e-06,6.2962e-06,2.4434e-05,-2.14376e-05,-8.30617e-05,-0.000321831,-8.12863,13.7939,0,0,0,0.00906346,-8.12863,13.7939,3.7263,3.7263,3.7263,-1106.96,285.949,0,15
316.27,0.941232,-0.337761,1802.93,154.371,157.477,-3718.2,0.0986279,-0.0542601,0.0948861,-0.0422406,-1.52324,-0.644777,0.0563873,7.12408e-05,-0.000162975,0.000372831,6.90771e-05,-0.000158032,0.000361541,4.38157,0.658028,0,0,0,0.0563873,4.38157,0.658028,316.27,316.27,316.27,2060.84,900.931,0,16
