sdf,area,u,v,p,c,c__x,c__y,c__x__x,c__y__y,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
38.9489,1802.93,358.139,370.29,-4350.39,-0.287851,-6.32673e-05,0.000167853,1.42373e-05,0.000244093,0.0394954,0,0.0394954,1,2635.63,-643.067,0,0
449.035,1802.93,375.836,387.947,-4123.57,-0.299388,-0.000547279,-0.000618673,-7.36895e-06,-1.72353e-05,-0.445699,0,-0.445699,1,1978.94,-1321.6,0,1
363.315,1802.93,-87.9641,-604.223,-3648.58,-0.227356,0.000863007,-0.000993969,-2.33351e-06,-4.29534e-06,0.524665,0,0.524665,1,-1909.22,-1407.32,0,2
57.4501,1802.93,120.936,118.567,-2135.95,-0.120474,-0.000127266,7.43062e-05,-6.85113e-07,-1.00129e-05,-0.0065807,0,-0.0065807,1,1297.72,247.125,0,3
36.6133,1802.93,311.59,334.122,-3686.92,-0.198672,-8.53335e-05,0.000152108,3.35399e-06,2.19606e-05,0.0242336,0,0.0242336,1,2093.71,-756.67,0,4
54.7706,1802.93,67.8531,69.5615,-1900.68,0.0449972,-0.00043033,0.000638676,1.93795e-05,5.98273e-05,0.0152279,0,0.0152279,1,995.971,583.865,0,5
45.6003,1802.93,43.5513,-75.4972,-926.035,0.362446,-0.00100534,-6.70576e-05,-0.000122048,-1.85703e-05,-0.0387209,0,-0.0387209,1,-315.207,-793.019,0,6
31.508,1802.93,38.5298,34.2066,-408.691,0.205052,-0.000883646,0.000255975,-0.000810343,-0.000344745,-0.0252884,0,-0.0252884,1,133.093,-205.545,0,7
145.402,1802.93,-127.758,-502.617,-3966.44,-0.315093,0.000233951,-2.24335e-05,1.05595e-06,7.25378e-06,-0.0186136,0,-0.0186136,1,-1404.69,564.893,0,8
123.495,1802.93,176.907,177.99,-1910.04,-0.0579595,-0.000204477,-3.35533e-05,-0.000415872,-0.000522226,-0.0421438,0,-0.0421438,1,817.317,-728.986,0,9
124.964,1802.93,-163.143,-448.533,-4945.03,-0.253942,-0.0010389,-0.000764475,-4.13886e-06,-1.39887e-06,0.512382,0,0.512382,1,-925.249,1628.75,0,10
124.921,1802.93,-159.98,-429.246,-4827.24,-0.310886,2.94151e-05,-0.000197393,6.88049e-06,1.78138e-06,0.0800242,0,0.0800242,1,-862.064,1628.79,0,11
160.771,1802.93,12.9384,-281.3,-2222.96,-0.205237,0.000906831,-0.000490728,-1.51114e-05,-6.99086e-06,0.149775,0,0.149775,1,-1058.77,-1512.38,0,12
59.4114,1802.93,192.069,179.176,-2058.91,-0.0120361,-6.55481e-05,-8.21555e-06,-4.84417e-05,-2.5445e-05,-0.0140617,0,-0.0140617,1,722.047,-964.669,0,13
355.154,1802.93,356.678,375.838,-4034.98,-0.223405,-0.000230343,-0.000199348,2.63703e-05,9.56545e-05,-0.157081,0,-0.157081,1,2080.32,-1096.93,0,14
348.316,1802.93,293.039,280.993,-4246.99,-0.238644,-0.000143674,0.00146331,4.48553e-08,2.04326e-05,0.369078,0,0.369078,1,2688.16,91.1578,0,15
5.47032,1802.93,-22.6482,-107.326,-698.51,0.116303,0.00056492,-0.00201152,-2.20495e-06,-0.000148844,0.203094,0,0.203094,1,-327.043,-40.2343,0,16
290.558,1802.93,277.418,266.022,-4024.12,-0.222308,-0.000150673,0.00162168,1.69066e-07,0.000114646,0.389604,0,0.389604,1,2546.83,88.2894,0,17
135.112,1802.93,-160.777,-437.509,-4863.91,-0.28282,-0.00129144,-0.00090771,-2.88893e-05,-8.80036e-06,0.604764,0,0.604764,1,-892.525,1618.6,0,18
123.543,1802.93,-21.1987,-79.4268,-647.718,0.0795716,0.000678712,-4.28089e-05,0.000306036,0.00120758,-0.0109906,0,-0.0109906,1,-217.786,109.218,0,19
596.918,1802.93,218.375,221.581,-5084.73,-0.0215192,-2.92074e-05,6.11709e-05,-8.52717e-07,-4.82983e-06,0.00717616,0,0.00717616,1,2848.7,1156.79,0,20
218.055,1802.93,42.7295,41.5286,-3197.45,-0.333889,-0.00107353,0.000669115,-0.000214357,-0.000144859,-0.0180834,0,-0.0180834,1,1215.1,1471.98,0,21
18.1358,1802.93,279.535,270.407,-3715.35,-0.232289,-7.17157e-05,0.000564074,-3.20045e-07,-0.000107737,0.132483,0,0.132483,1,2362.28,-129.4,0,22
70.6989,1802.93,-89.1792,-333.523,-2730.39,-0.218769,0.000300777,7.81183e-05,-1.25661e-05,-4.82699e-05,-0.0528772,0,-0.0528772,1,-914.158,462.131,0,23
46.1296,1802.93,-73.8307,-388.55,-2418.57,-0.118662,-0.000251532,0.00124206,-4.80554e-06,-4.13982e-05,-0.464031,0,-0.464031,1,-1207.99,-418.04,0,24
107.896,1802.93,346.187,338.745,-4466.4,-0.338738,-3.54713e-05,0.000835949,-1.04172e-07,-1.21027e-05,0.270894,0,0.270894,1,2833.51,-261.919,0,25
425.456,1802.93,439.5,463.451,-4978.14,-0.278577,0.00025113,0.000706532,-7.53417e-06,-2.76531e-05,0.437815,0,0.437815,1,2572.51,-1345.18,0,26
26.2124,1802.93,366.568,393.266,-4331.26,-0.250411,-8.2807e-05,0.000156564,-2.21268e-05,-0.000166263,0.0312172,0,0.0312172,1,2453.3,-897.665,0,27
79.8151,1802.93,178.624,185.021,-1966.83,-0.134569,0.000774982,0.00147163,1.99653e-05,5.03561e-05,0.410713,0,0.410713,1,957.198,-613.952,0,28
75.5764,1802.93,85.7625,-155.304,-1865.15,0.702664,-0.000147418,-0.000340381,-4.47078e-06,-9.5808e-07,0.0402196,0,0.0402196,1,-644.761,-1594.55,0,29
268.442,1802.93,376.994,381.953,-4076.35,-0.206619,9.07724e-05,0.000237087,-2.42641e-05,-3.51617e-05,0.124777,0,0.124777,1,1792.81,-1502.19,0,30
243.828,1802.93,-124.567,-216.024,-3478.4,-0.42138,-0.00171508,-0.000508325,-6.38911e-05,-1.02515e-06,0.323452,0,0.323452,1,-195.611,1509.88,0,31
310.698,1802.93,182.003,71.8154,-2010.06,0.139021,-0.00102703,-0.000174483,4.42829e-05,5.25287e-07,-0.199454,0,-0.199454,1,137.136,-1459.94,0,32
30.1243,1802.93,-15.5845,-4.29468,-3522.5,-0.00167326,-0.00300279,0.00170792,5.60195e-06,1.55587e-06,0.0394619,0,0.0394619,1,984.21,1723.59,0,33
98.7952,1802.93,-132.39,-190.624,-3618.58,-0.453095,0.00123008,-0.000221537,-1.98558e-06,7.04415e-09,-0.120621,0,-0.120621,1,-55.6675,1654.92,0,34
489.067,1802.93,-204.864,-725.819,-6234.99,-0.418855,-0.000387745,-0.000932493,3.11269e-06,7.03151e-06,0.756256,0,0.756256,1,-1926.52,1264.64,0,35
107.462,1802.93,-52.656,-447.113,-2784.96,-0.0586038,0.000296225,-0.00028677,6.21029e-07,1.26738e-06,0.11262,0,0.11262,1,-1446.46,-1290.99,0,36
123.213,1802.93,370.844,367.042,-4006.86,-0.311632,-0.000243456,-5.02289e-05,0.000108979,0.000103175,-0.108721,0,-0.108721,1,1600.26,-1647.42,0,37
283.371,1802.93,-82.5698,-598.493,-3636.68,-0.150201,0.00056616,-0.000604375,-1.9671e-05,-3.25514e-05,0.314967,0,0.314967,1,-1902.79,-1487.26,0,38
32.8659,1802.93,23.2099,13.6159,-248.083,0.182178,0.00195695,0.00136145,-0.000332617,1.01419e-05,0.0639587,0,0.0639587,1,38.7527,-164.387,0,39
310.207,1802.93,171.56,175.981,-4763.61,0.0618291,8.83757e-05,-8.37562e-05,5.51705e-05,0.000167051,0.000421741,0,0.000421741,1,2504.82,1443.5,0,40
194.402,1802.93,172.701,176.757,-4939.25,0.133493,8.96492e-05,-2.67544e-05,4.44678e-06,1.21446e-05,0.0107534,0,0.0107534,1,2563.59,1559.31,0,41
7.08622,1802.93,-105.321,-277.38,-3166.98,-0.191134,0.000238547,-0.000103721,-1.10959e-05,-2.89124e-06,0.00364603,0,0.00364603,1,-545.235,1087.97,0,42
101.139,1802.93,-112.065,-450.347,-3498.5,-0.283504,0.000303978,0.000126938,-3.50961e-06,-2.5712e-05,-0.0912313,0,-0.0912313,1,-1267.56,459.188,0,43
132.521,1802.93,301.981,269.559,-3219.11,-0.0080773,3.31443e-05,4.02308e-06,1.75997e-05,6.36255e-06,0.0110933,0,0.0110933,1,1051.88,-1602.37,0,44
168.83,1802.93,471.092,488.91,-5201.83,-0.362361,-0.000280333,-0.000218579,-7.15282e-06,-1.74183e-05,-0.238928,0,-0.238928,1,2545.66,-1601.8,0,45
313.459,1802.93,390.708,413.778,-4456.59,-0.225312,-0.000240905,-0.000267819,4.71763e-05,0.000190786,-0.204942,0,-0.204942,1,2336.96,-1160.34,0,46
13.403,1802.93,453.198,460.944,-4906.35,-0.278197,-2.05042e-06,0.000126517,3.23549e-05,5.07994e-05,0.057388,0,0.057388,1,2203.99,-1757.23,0,47
185.116,1802.93,-104.69,-224.713,-3034.59,-0.13904,0.000276683,-7.18676e-05,1.628e-05,1.22837e-06,-0.0128164,0,-0.0128164,1,-337.884,1193.38,0,48
137.144,1802.93,133.456,132.686,-4425.78,-0.0648094,0.00104777,-0.00139372,-5.81439e-06,-1.00713e-05,-0.0450962,0,-0.0450962,1,2163.63,1616.57,0,49
299.547,1802.93,418.39,448.173,-4886.22,-0.275221,-0.000180441,-0.000134166,-3.13042e-06,-1.70067e-05,-0.135624,0,-0.135624,1,2699.5,-1100,0,50
43.2412,1802.93,-42.4907,-38.2816,-1796.1,0.419513,-0.00084089,0.000683185,-0.000158368,-1.60422e-05,0.0095769,0,0.0095769,1,275.87,895.987,0,51
365.201,1802.93,166.671,67.3895,-1838.26,0.124105,2.3723e-05,-6.32085e-05,0.000112752,1.176e-06,-0.000305872,0,-0.000305872,1,134.234,-1328.81,0,52
206.231,1802.93,47.3024,46.0232,-3376.2,-0.369484,-0.00013895,-0.000122119,0.000121499,8.46701e-05,-0.0121934,0,-0.0121934,1,1294.87,1547.48,0,53
429.635,1802.93,177.727,182.68,-4695.82,0.0630908,-0.000277828,0.000595361,1.24081e-05,4.48113e-05,0.0593831,0,0.0593831,1,2520.81,1324.08,0,54
36.213,1802.93,11.8808,11.9525,-1637.37,-0.263355,0.00207975,-0.00189485,-0.000331937,-0.000179849,0.00206182,0,0.00206182,1,571.343,780.653,0,55
261.339,1802.93,-143.266,-612.137,-4501.92,-0.364508,0.000240841,0.000160414,-3.18153e-06,-7.04006e-05,-0.132699,0,-0.132699,1,-1772,373.735,0,56
274.348,1802.93,208.553,118.864,-2253.78,0.00974451,-0.000578667,-0.000119606,-2.96486e-05,-1.40527e-06,-0.134899,0,-0.134899,1,330.639,-1496.29,0,57
195.862,1802.93,139.738,143.518,-3620.56,0.0270161,-0.000329939,0.0007192,-1.62312e-05,-6.48584e-05,0.0571134,0,0.0571134,1,1958.3,990.893,0,58
207.94,1802.93,29.931,29.5381,-3168.81,-0.430567,0.00165423,-0.00156651,-8.29208e-06,-5.56579e-06,0.00324107,0,0.00324107,1,1138.68,1492.82,0,59
185.32,1802.93,27.8041,-256.283,-2168.54,-0.185418,0.00148186,-0.000822602,2.6089e-05,1.05974e-05,0.252021,0,0.252021,1,-1001.36,-1585.31,0,60
366.112,1802.93,337.004,349.615,-3718.99,-0.256652,-7.09505e-06,0.00022384,-1.22592e-05,-2.83334e-05,0.0758668,0,0.0758668,1,1818.29,-1148.1,0,61
261.871,1802.93,312.62,329.025,-3529.01,-0.191849,0.000290228,0.000783535,-5.12187e-05,-0.000178469,0.348534,0,0.348534,1,1811.55,-970.168,0,62
381.446,1802.93,424.433,455.374,-5014.43,-0.303815,-0.000324401,-0.000516164,0.0004499,0.00334881,-0.372741,0,-0.372741,1,2839.23,-1040.39,0,63
369.123,1802.93,412.819,428.538,-4559.61,-0.318059,-0.000272873,-0.000200477,-7.62143e-06,-1.8148e-05,-0.198559,0,-0.198559,1,2233.47,-1401.51,0,64
212.512,1802.93,370.005,394.808,-4273.1,-0.242653,-2.05286e-05,0.000203019,6.75046e-06,3.28437e-05,0.072558,0,0.072558,1,2302.63,-1036.18,0,65
151.521,1802.93,184.799,179.579,-2993.11,-0.167983,-0.000118129,6.31623e-06,5.57497e-08,6.54975e-06,-0.0206959,0,-0.0206959,1,1857.05,229.426,0,66
350.587,1802.93,-123.183,-266.059,-3575.08,-0.170369,3.02321e-05,-0.000134463,-1.13132e-05,-9.48619e-07,0.0320512,0,0.0320512,1,-404.011,1401.19,0,67
61.4914,1802.93,369.847,361.116,-3992.04,-0.135183,-0.000923934,-0.000742645,-1.09958e-05,-9.18714e-06,-0.609895,0,-0.609895,1,1528.93,-1709.14,0,68
174.791,1802.93,263.389,201.962,-2756.83,0.0300533,0.000396931,0.000196842,-2.51597e-05,-4.64883e-06,0.144302,0,0.144302,1,703.554,-1595.84,0,69
372.09,1802.93,305.447,293.058,-4396.56,-0.248642,-7.31638e-05,-0.000658216,-2.99312e-08,-4.69361e-05,-0.215243,0,-0.215243,1,2784.34,76.2413,0,70
543.209,1802.93,172.154,176.779,-4446.28,0.0372805,-0.000387826,0.000843802,-2.28129e-06,-1.02916e-05,0.0824009,0,0.0824009,1,2407.53,1210.5,0,71
792.487,1802.93,281.074,274.879,-4777.12,-0.310145,-0.000137341,0.000182813,1.27483e-06,4.52421e-05,0.0116483,0,0.0116483,1,2930.4,470.931,0,72
17.27,1802.93,35.2891,35.2855,-1715.39,-0.142373,0.00252274,-0.00261101,-2.16558e-05,-1.71308e-05,-0.00310572,0,-0.00310572,1,725.887,736.865,0,73
65.7088,1802.93,118.962,-87.3666,-1986.16,0.254556,-0.00256142,0.000599065,-0.000368983,-2.9333e-05,-0.357049,0,-0.357049,1,-464.681,-1659.8,0,74
108.313,1802.93,131.105,127.387,-2121.68,-0.101938,-0.000111929,-0.000119341,1.48274e-08,2.64102e-06,-0.0298769,0,-0.0298769,1,1316.88,162.076,0,75
125.376,1802.93,162.107,173.054,-1933.61,-0.0856421,-0.00017383,-9.93461e-05,2.30698e-06,1.26513e-05,-0.0453712,0,-0.0453712,1,1116.16,-372.194,0,76
365.984,1802.93,-113.553,-188.336,-3149.27,-0.42518,-0.00126443,-0.000452854,-0.000209428,-2.26859e-06,0.228869,0,0.228869,1,-144.668,1387.73,0,77
11.0767,1802.93,336.348,304.234,-3592.79,-0.000804463,-3.24677e-05,-5.87427e-05,4.08919e-05,1.90937e-05,-0.0287921,0,-0.0287921,1,1197.64,-1759.56,0,78
89.1267,1802.93,184.375,144.818,-1931.35,0.0197951,-0.00120714,-0.000520741,3.33452e-05,7.08653e-06,-0.29798,0,-0.29798,1,511.967,-1098.63,0,79
207.936,1802.93,-135.342,-361.845,-4080.91,-0.257221,0.000106012,-0.000160544,8.74821e-07,6.91164e-08,0.043744,0,0.043744,1,-723.693,1381.89,0,80
33.9024,1802.93,-106.475,-106.417,-3467.53,0.4748,0.00212568,-0.000192797,2.6046e-05,1.09562e-06,-0.205815,0,-0.205815,1,353.163,1719.81,0,81
157.227,1802.93,456.352,470.628,-5001.68,-0.345455,-0.000418602,-0.000428168,-7.91848e-06,-1.81649e-05,-0.392538,0,-0.392538,1,2392.4,-1613.41,0,82
240.402,1802.93,361.216,384.682,-4155.47,-0.227226,-0.000515191,-0.000870168,-2.00761e-06,-9.601e-06,-0.520833,0,-0.520833,1,2220.48,-1031.67,0,83
225.856,1802.93,385.276,401.842,-4670.38,-0.324898,-0.00018765,-0.000247228,-2.80447e-06,-4.48232e-05,-0.171644,0,-0.171644,1,2798.58,-737.577,0,84
135.42,1802.93,152.865,157.367,-1670.7,-0.103594,-0.000869162,-0.000977802,7.88165e-06,1.10207e-05,-0.286738,0,-0.286738,1,795.034,-545.724,0,85
563.22,1802.93,234.498,229.529,-4031.73,-0.256097,-0.00013308,0.000144932,1.34128e-06,4.67087e-05,0.00205918,0,0.00205918,1,2465.97,418.638,0,86
199.525,1802.93,303.939,319.62,-3425.49,-0.183028,3.3678e-05,0.000307962,-2.89761e-05,-0.000100529,0.108667,0,0.108667,1,1752.3,-950.038,0,87
330.042,1802.93,-80.0022,-568.556,-3445.82,-0.171382,0.000523589,-0.000540808,-4.53782e-06,-7.84084e-06,0.265592,0,0.265592,1,-1803.41,-1381.99,0,88
