sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
47.2335,44.6387,0.263546,0.0944731,0.200032,2.81243,0.000627373,0.00326153,-0.00352482,-0.00187754,0.00107278,0,0.00107278,1,156.844,-113.81,0,0
130.01,44.6387,0.213603,0.0678084,0.140057,2.69903,0.00729328,-0.000816403,-0.00293723,-0.000153193,0.000408223,0,0.000408223,1,141.67,-31.0332,0,1
52.1984,44.6387,0.177511,-0.0337262,0.123293,1.73739,-0.0108104,0.000649886,7.98706e-05,-6.96121e-05,0.000479663,0,0.000479663,1,120.58,107.153,0,2
10.0112,44.6387,0.545307,0.179118,-0.587904,2.27677,-0.0116629,0.0552329,0.0123273,0.00363188,0.0275751,0,0.0275751,1,-136.682,-83.2713,0,3
61.2258,44.6387,0.185591,-0.118559,0.159786,1.87472,-0.00957714,-0.000188989,-0.000499088,-0.00022858,0.00112112,0,0.00112112,1,145.048,98.1256,0,4
126.969,44.6387,0.0987122,0.101536,0.156222,2.66537,0.00797022,-2.56624e-05,0.00563875,0.000404568,0.000634525,0,0.000634525,1,119.611,-34.0744,0,5
5.29242,44.6387,-0.0701759,-0.244753,0.0435619,3.06367,0.00369948,-0.00704677,0.000736852,0.00221813,-0.000495151,0,-0.000495151,1,-32.439,-55.0325,0,6
36.9277,44.6387,0.347263,0.105017,0.187469,2.85642,-0.00309581,0.000154695,-0.00105403,-0.000544325,-0.000225846,0,-0.000225846,1,184.437,-124.116,0,7
137.787,44.6387,0.277667,-0.0132294,0.149962,2.40257,-0.00960113,-2.91211e-05,-0.00346846,1.98224e-07,0.000217762,0,0.000217762,1,181.573,21.5644,0,8
1.1019,44.6387,-0.17312,-0.0574875,-0.291265,3.01374,-0.0199123,0.0411123,0.000909665,-0.00220717,-0.00593568,0,-0.00593568,1,-120.508,-111.882,0,9
41.4828,44.6387,0.28087,0.10898,0.203105,2.80483,0.000425803,0.00300622,0.00308278,0.00178057,0.000752177,0,0.000752177,1,158.726,-119.561,0,10
23.1854,44.6387,0.278665,0.0431098,-0.258689,1.85219,-0.0358637,0.0178391,-0.00316018,-0.0020922,0.00357473,0,0.00357473,1,-127.512,70.3833,0,11
46.5077,44.6387,0.398239,0.0780792,0.112891,2.88285,-0.000517637,-0.000602214,0.000223511,0.00940884,-0.000554723,0,-0.000554723,1,12.3883,-114.536,0,12
3.45461,44.6387,0.534679,0.124743,0.326604,3.30147,-0.00726769,0.00446882,-0.000321048,-0.00288551,0.00157416,0,0.00157416,1,-59.9847,-157.589,0,13
