sdf,sdf__x,sdf__y,area,u,v,p,u__y,u__x,v__y,v__x,p__y,p__x,continuity,u__y__y,u__x__y,u__x__x,v__y__y,v__x__y,v__x__x,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
31.1613,0,-1,11.8777,-67.6355,33.807,13.1082,-0.409693,-0.268721,0.138479,0.246571,0.149244,-0.0673846,-0.130243,0.00727819,-0.0125428,0.0216616,0.00144139,-0.00239491,0.00396943,-12.1991,-0.615564,0,0,0,-0.130243,-12.1991,-0.615564,31.1613,31.1613,31.1613,69.6313,118.839,0,0
44.6907,-0,1,11.8777,-75.482,23.5289,5.5647,-0.304627,1.02419,-0.0841489,-0.534182,0.0116774,-0.0865785,0.940045,0.0101783,0.0122967,0.014844,0.00738978,0.00775304,0.00807943,34.8789,-94.0755,0,0,0,0.940045,34.8789,-94.0755,44.6907,44.6907,44.6907,-54.7666,62.6907,0,1
21.5971,-0,1,11.8777,-24.2815,8.95156,1.22477,-0.539742,0.531943,0.218484,-0.0470212,0.00641324,-0.198789,0.750426,0.000974808,0.00271686,0.0236554,0.000311644,0.00103377,0.00687931,0.0820302,-17.1552,0,0,0,0.750426,0.0820302,-17.1552,21.5971,21.5971,21.5971,-6.10512,39.5971,0,2
77.7336,0.704824,0.709382,11.8777,-60.6602,67.6338,16.7332,-0.03216,-0.493622,0.0317584,0.542796,0.143573,0.125698,-0.461864,-0.0030008,0.000240953,-2.01694e-05,-0.0084875,0.000765129,-6.00628e-05,-29.277,28.6103,0,0,0,-0.461864,-29.277,28.6103,77.7336,77.7336,77.7336,122.794,8.16189,0,3
32.0367,0,-1,11.8777,-190.847,71.2277,14.1968,-0.455165,0.878786,-0.0569922,-0.500377,0.12472,0.00496943,0.821794,0.00642394,0.00496798,0.00382437,0.0119732,0.00901654,0.00678741,83.5375,-219.594,0,0,0,0.821794,83.5375,-219.594,32.0367,32.0367,32.0367,-155.884,117.963,0,4
11.6336,0,1,11.8777,-59.1099,57.2498,9.72117,0.427612,-0.0471498,-0.410639,0.0954329,-0.0650996,0.155895,-0.457789,-2.47025e-05,-0.000261714,0.00365273,-2.69068e-05,-0.000576883,-0.0176726,-26.1137,25.6579,0,0,0,-0.457789,-26.1137,25.6579,11.6336,11.6336,11.6336,3.84432,-138.366,0,5
8.50875,0,-1,11.8777,-78.9413,39.0288,15.8625,-0.382027,-0.318184,0.163636,0.202996,0.128311,-0.0303723,-0.154547,0.00192465,-0.00351061,0.00640697,0.00170459,-0.00291351,0.00496223,-9.07614,9.76627,0,0,0,-0.154547,-9.07614,9.76627,8.50875,8.50875,8.50875,77.7137,141.491,0,6
49.2008,0.93581,0.352504,11.8777,-57.7811,58.5983,14.3175,0.0726917,-0.485699,0.0549815,0.527641,0.00877543,0.128086,-0.430717,0.000361684,0.000203669,6.37367e-05,0.0259918,0.00652187,0.00162015,-32.2226,31.9076,0,0,0,-0.430717,-32.2226,31.9076,49.2008,49.2008,49.2008,114.048,-29.6374,0,7
50.8611,0,-1,11.8777,-49.2673,21.84,8.88737,-0.472871,-0.0982324,0.156638,0.223803,0.0399344,0.173025,0.0584051,-0.000950913,0.00330456,-0.0113336,0.00196995,-0.00677058,0.0233563,-10.3528,-4.91643,0,0,0,0.0584051,-10.3528,-4.91643,50.8611,50.8611,50.8611,27.7926,99.1389,0,8
71.2141,0.400588,0.916258,11.8777,-49.3754,52.8752,14.6233,-0.237051,-0.46694,-0.0805981,0.558065,0.0642452,0.137512,-0.547538,-0.00690465,0.00163931,-0.00040082,0.0081985,-0.00155389,0.000303538,-33.2219,12.3725,0,0,0,-0.547538,-33.2219,12.3725,71.2141,71.2141,71.2141,96.533,18.2696,0,9
79.4161,0,-1,11.8777,-52.742,32.897,11.2284,-0.183016,-0.553197,-0.0638003,0.513075,-0.0237781,0.180325,-0.616997,0.0115236,-0.0113207,0.0111572,0.00649471,-0.00627517,0.00610639,-29.8442,15.7281,0,0,0,-0.616997,-29.8442,15.7281,79.4161,79.4161,79.4161,72.0774,70.5839,0,10
29.4041,0,-1,11.8777,-100.704,29.2077,8.85114,-0.487224,0.723331,0.181897,-0.129344,0.068519,-0.00717316,0.905228,0.00275436,0.00541288,0.0107451,-0.000970868,-0.00198596,-0.00397386,24.6636,-99.3292,0,0,0,0.905228,24.6636,-99.3292,29.4041,29.4041,29.4041,-57.2956,120.596,0,11
24.478,0.921767,-0.387745,11.8777,-60.0887,58.1623,10.5809,0.41755,-0.18972,-0.407201,0.17512,-0.0561562,0.0651955,-0.596921,0.000768058,0.00122523,0.00190713,0.00190665,0.00328332,0.00579087,-41.4205,39.8417,0,0,0,-0.596921,-41.4205,39.8417,24.478,24.478,24.478,66.8007,-112.974,0,12
54.6662,0,-1,11.8777,-57.2123,30.5895,10.4706,-0.375488,-0.318072,0.0937013,0.32099,0.0753068,0.0523307,-0.224371,-0.00338885,0.0051801,-0.00782396,0.00240611,-0.00336018,0.00475993,-15.7804,8.61134,0,0,0,-0.224371,-15.7804,8.61134,54.6662,54.6662,54.6662,66.7389,95.3338,0,13
89.0613,0,-1,11.8777,-70.5189,59.271,19.2045,-0.323674,-0.440399,-0.115345,0.572919,0.0120119,0.161232,-0.555743,-0.00263708,0.00125953,-0.000581501,-0.00973645,0.005237,-0.00278991,-45.4704,12.0703,0,0,0,-0.555743,-45.4704,12.0703,89.0613,89.0613,89.0613,114.796,60.9387,0,14
30.2893,0.387745,0.921767,11.8777,-17.2152,19.5276,4.60037,0.0147073,-0.502318,0.0651413,0.546034,0.126479,0.13192,-0.437177,0.00823978,0.000499821,0.00124351,-0.0141065,0.000124035,-9.91751e-05,-9.13949,6.03243,0,0,0,-0.437177,-9.13949,6.03243,30.2893,30.2893,30.2893,34.8906,-0.190957,0,15
11.2989,-0.41065,0.911793,11.8777,-66.3984,32.4695,3.28463,-0.674716,0.725489,-0.0688106,-0.53496,0.0966414,-0.0070149,0.656679,-0.0124935,-0.00560592,-0.00269786,-0.0215624,-0.00909384,-0.00391133,32.1414,-58.658,0,0,0,0.656679,32.1414,-58.658,11.2989,11.2989,11.2989,-64.6399,28.3023,0,16
17.5522,-0.387745,-0.921767,11.8777,-135.462,89.8892,12.2849,0.00406352,0.799223,-0.0938612,-0.510208,-0.139075,-0.0431617,0.705362,-0.01149,0.00229385,-0.000465869,0.0154522,-0.0031482,0.000663142,56.6474,-105.666,0,0,0,0.705362,56.6474,-105.666,17.5522,17.5522,17.5522,-169.117,-35.5162,0,17
5.09121,-0.388654,-0.921384,11.8777,-116.005,83.9557,5.43161,0.148238,0.726178,-0.175874,-0.459532,0.0392609,-0.0790858,0.550304,-0.00123422,0.000946112,-0.000680646,-0.00182301,0.00194046,-0.00203155,37.7254,-71.3072,0,0,0,0.550304,37.7254,-71.3072,5.09121,5.09121,5.09121,-133.279,-127.756,0,18
92.0453,0.72669,0.686966,11.8777,-67.2408,74.2161,19.402,-0.117751,-0.485324,-0.0328335,0.549844,0.162693,0.123343,-0.518158,-0.0125647,0.00158706,-0.000182163,-0.019647,0.00246555,-0.000290968,-36.4176,26.4777,0,0,0,-0.518158,-36.4176,26.4777,92.0453,92.0453,92.0453,134.894,16.2511,0,19
34.6696,0,-1,11.8777,-72.0711,26.438,4.1805,-0.526063,0.544752,0.213374,-0.0919481,-0.00452752,-0.227515,0.758126,0.000118229,8.45809e-05,-0.00265555,0.000466455,0.00279725,0.015508,8.13415,-50.904,0,0,0,0.758126,8.13415,-50.904,34.6696,34.6696,34.6696,-20.4344,115.33,0,20
23.5398,0,-1,11.8777,-106.665,30.8259,9.27609,-0.494593,0.708516,0.185969,-0.121137,0.0736328,0.00330552,0.894486,0.00277408,0.00541463,0.0106377,-0.00118526,-0.00250283,-0.0052204,23.668,-99.7752,0,0,0,0.894486,23.668,-99.7752,23.5398,23.5398,23.5398,-61.6009,126.46,0,21
71.6906,0,-1,11.8777,-52.6472,31.3402,10.5424,-0.206662,-0.523892,-0.0339928,0.485899,-0.0604093,0.22098,-0.557885,-0.0107035,0.0120584,-0.0135751,-0.00207361,0.00295505,-0.00393808,-27.1119,29.6978,0,0,0,-0.557885,-27.1119,29.6978,71.6906,71.6906,71.6906,69.5176,78.3094,0,22
36.1277,0,1,11.8777,-74.6445,71.5475,13.7396,0.327752,-0.316789,-0.306649,0.307597,-0.0658969,0.0542716,-0.623438,-0.0270761,-0.0263256,-0.0256074,0.00540632,0.00502607,0.00470893,-46.6115,55.7056,0,0,0,-0.623438,-46.6115,55.7056,36.1277,36.1277,36.1277,117.266,-113.872,0,23
6.01103,0.676591,0.736359,11.8777,-10.6284,4.66454,1.64358,-0.497789,0.00115566,0.221179,0.0340682,0.0183098,0.281978,0.222335,0.000128206,0.0147872,-0.0919645,-0.000299155,-0.0149852,0.0645173,0.18182,-1.28735,0,0,0,0.222335,0.18182,-1.28735,6.01103,6.01103,6.01103,4.06701,22.4263,0,24
22.2509,0,-1,11.8777,-149.383,46.3608,10.9323,-0.294276,1.03521,-0.0802249,-0.529969,0.0484283,-0.042712,0.954984,0.00127902,0.00146272,0.00167963,-0.0138528,-0.0163764,-0.0193855,79.2869,-181.084,0,0,0,0.954984,79.2869,-181.084,22.2509,22.2509,22.2509,-107.619,127.749,0,25
29.1045,0,1,11.8777,-86.449,83.8947,15.0398,0.344595,-0.307468,-0.201062,0.40595,-0.108219,0.0143972,-0.50853,0.0024125,0.00205599,0.00177066,-0.0105503,-0.00877152,-0.00725265,-45.841,48.0081,0,0,0,-0.50853,-45.841,48.0081,29.1045,29.1045,29.1045,145.287,-120.896,0,26
90.0996,0.387745,0.921767,11.8777,-52.436,45.4614,14.5266,-0.315418,-0.44516,-0.120287,0.57439,0.00123227,0.166583,-0.565446,0.00614248,-0.00308838,0.00159828,0.00248531,-0.00139648,0.000795253,-35.6811,7.56352,0,0,0,-0.565446,-35.6811,7.56352,90.0996,90.0996,90.0996,87.024,42.7655,0,27
51.57,0,-1,11.8777,-131.337,44.216,10.0616,-0.391104,0.931017,-0.0734093,-0.519884,-0.015378,-0.114324,0.857607,0.000636267,0.0006373,0.000597045,0.00274425,0.0028034,0.00283612,63.0929,-139.767,0,0,0,0.857607,63.0929,-139.767,51.57,51.57,51.57,-99.4323,98.43,0,28
18.1306,0,-1,11.8777,-67.761,32.4171,14.436,-0.43362,-0.201673,0.15956,0.21544,0.0604331,0.123045,-0.0421128,-0.00167846,0.00421004,-0.0104886,2.13296e-06,-0.000138082,0.000605547,-8.36923,-0.425806,0,0,0,-0.0421128,-8.36923,-0.425806,18.1306,18.1306,18.1306,52.3436,131.869,0,29
84.8268,0.717432,0.696628,11.8777,-63.8687,70.973,18.0286,-0.0905508,-0.48851,-0.00811941,0.546364,0.1347,0.126222,-0.496629,-0.017164,0.00159763,-0.000136843,-0.00085729,0.00017034,-1.12189e-05,-35.3251,28.6266,0,0,0,-0.496629,-35.3251,28.6266,84.8268,84.8268,84.8268,128.863,12.1118,0,30
14.4509,0.921384,-0.388654,11.8777,-48.3408,46.549,6.37582,0.427088,-0.0223738,-0.405349,0.00656093,-0.0680274,0.225208,-0.427723,-7.61462e-05,0.000545166,-0.00520557,6.69811e-05,-0.000884662,0.0178593,-22.5536,22.1238,0,0,0,-0.427723,-22.5536,22.1238,14.4509,14.4509,14.4509,-5.80924,-114.173,0,31
79.0234,0.972687,0.232119,11.8777,-45.8793,40.3982,12.8223,-0.323776,-0.441584,-0.118781,0.573856,0.0104895,0.161685,-0.560365,0.00515811,-0.00258784,0.00137468,-0.00317785,0.0011042,-0.00032425,-30.241,5.70107,0,0,0,-0.560365,-30.241,5.70107,79.0234,79.0234,79.0234,76.8651,36.3429,0,32
14.1101,-0,1,11.8777,-47.0117,16.382,3.75988,-0.410744,0.906009,-0.0550938,-0.504313,0.0109158,-0.0922146,0.850915,0.00949067,0.00862946,0.00756717,-0.0191381,-0.0179031,-0.0166377,26.1782,-43.6157,0,0,0,0.850915,26.1782,-43.6157,14.1101,14.1101,14.1101,-36.5469,32.1101,0,33
16.9848,0,-1,11.8777,-122.981,34.0712,9.76879,-0.396507,0.890919,0.171396,-0.149895,0.0655102,-0.0122037,1.06232,0.0015838,0.00259385,0.00426103,0.00220585,0.00388281,0.00680838,26.5988,-128.242,0,0,0,1.06232,26.5988,-128.242,16.9848,16.9848,16.9848,-78.3507,133.015,0,34
1.12456,0.388654,0.921384,11.8777,-71.8206,51.7957,3.39979,0.170178,0.703568,-0.126257,-0.502616,0.0111373,-0.0539104,0.577311,-0.0146377,0.0125247,-0.0107512,0.00147296,-0.00129597,0.00114678,29.721,-41.8577,0,0,0,0.577311,29.721,-41.8577,1.12456,1.12456,1.12456,-83.9699,-72.2638,0,35
77.2608,0.995079,0.0990842,11.8777,-73.4731,74.3512,18.1571,0.0700714,-0.487029,0.0393114,0.523188,0.0216368,0.130633,-0.447718,0.00701777,0.00195339,0.000529807,0.00162117,0.000397066,8.09408e-05,-35.9053,39.7005,0,0,0,-0.447718,-35.9053,39.7005,77.2608,77.2608,77.2608,144.886,-39.3256,0,36
17.8866,0.822915,0.568164,11.8777,-15.2757,7.58051,3.37838,-0.389789,-0.334541,0.150055,0.240872,0.126307,-0.0236269,-0.184487,0.00169454,0.000210971,-0.00326266,0.0091045,-0.0170187,0.0286965,-3.98835,3.9036,0,0,0,-0.184487,-3.98835,3.9036,17.8866,17.8866,17.8866,14.7192,28.1625,0,37
7.71722,-0.387745,-0.921767,11.8777,-39.4731,34.2794,1.19562,0.344103,0.417464,-0.382058,-0.054083,-0.00635047,-0.0353175,0.035406,-0.00383472,0.0138451,-0.0507298,0.00295362,-0.0110503,0.0422608,-12.6267,-2.70559,0,0,0,0.035406,-12.6267,-2.70559,7.71722,7.71722,7.71722,-23.2859,-86.1911,0,38
31.8606,0,-1,11.8777,-181.109,65.876,14.107,-0.429716,0.90058,-0.0224108,-0.474439,0.0782218,-0.0318452,0.878169,0.017939,0.0145968,0.011864,-0.000692319,-0.000338466,-0.000105725,84.8735,-216.17,0,0,0,0.878169,84.8735,-216.17,31.8606,31.8606,31.8606,-144.721,118.139,0,39
14.7548,0,1,11.8777,-59.8926,58.5211,11.7711,0.42113,-0.10853,-0.4028,0.138666,-0.0637884,0.121047,-0.51133,1.84334e-05,0.000174242,0.00132723,-0.00022615,-0.0014432,-0.00826441,-28.2115,28.8456,0,0,0,-0.51133,-28.2115,28.8456,14.7548,14.7548,14.7548,24.7016,-135.245,0,40
43.9009,0,-1,11.8777,-118.298,35.3912,8.89732,-0.321915,1.00271,-0.0633475,-0.508038,0.0492364,-0.0420305,0.939363,-0.00316854,-0.00405235,-0.00515405,0.00216041,0.0025873,0.00301949,55.3411,-126.107,0,0,0,0.939363,55.3411,-126.107,43.9009,43.9009,43.9009,-83.6714,106.099,0,41
22.7738,0,-1,11.8777,-125.996,34.5952,9.80856,-0.34633,0.969524,0.0217087,-0.384739,0.0364714,-0.0607739,0.991233,-0.00129498,-0.00207327,-0.00325918,0.0170593,0.0257991,0.0390111,40.5419,-139.888,0,0,0,0.991233,40.5419,-139.888,22.7738,22.7738,22.7738,-84.0739,127.226,0,42
8.03134,0,-1,11.8777,-69.402,29.1598,9.82619,-0.479204,-0.0645276,0.205474,-0.00477694,-0.00437502,0.395408,0.140946,-0.000224476,0.00127394,-0.00636426,8.91456e-05,-0.000478002,0.00260549,6.95021,-9.83864,0,0,0,0.140946,6.95021,-9.83864,8.03134,8.03134,8.03134,26.4582,141.969,0,43
45.0297,0.387745,0.921767,11.8777,-147.848,58.5138,10.0835,-0.583992,0.785479,-0.110114,-0.537512,0.113841,-0.00170202,0.675365,0.0104837,0.00671618,0.00429558,0.00880934,0.00568334,0.00365573,68.5056,-154.697,0,0,0,0.675365,68.5056,-154.697,45.0297,45.0297,45.0297,-125.855,83.419,0,44
78.5481,0,-1,11.8777,-63.9091,44.7977,15.6648,-0.319897,-0.435205,-0.158053,0.593033,-0.0466511,0.20235,-0.593258,0.00965122,-0.00746126,0.00578402,0.00253734,-0.00190329,0.00148197,-44.4874,9.7851,0,0,0,-0.593258,-44.4874,9.7851,78.5481,78.5481,78.5481,93.6887,71.4519,0,45
8.28456,0,-1,11.8777,-106.352,33.4678,9.24648,-0.417807,0.900838,0.252728,0.0469478,0.0239228,-0.10569,1.15357,0.000456468,0.00128082,0.00356171,0.00195627,0.00527037,0.0143326,5.24528,-111.492,0,0,0,1.15357,5.24528,-111.492,8.28456,8.28456,8.28456,-52.0799,141.715,0,46
4.75281,-0.387745,-0.921767,11.8777,-68.2314,48.619,3.71048,0.0755432,0.779389,-0.144857,-0.488685,0.0775043,-0.10347,0.634531,0.00813513,-0.00567319,0.00395299,-0.0179559,0.0126,-0.0088287,25.6535,-49.2817,0,0,0,0.634531,25.6535,-49.2817,4.75281,4.75281,4.75281,-81.2308,-58.6003,0,47
40.8732,0,-1,11.8777,-178.31,66.902,13.141,-0.472603,0.865331,-0.0739902,-0.513184,0.127319,0.00701921,0.791341,0.0174832,0.013204,0.00995024,0.00812238,0.00610391,0.00458632,82.8687,-193.721,0,0,0,0.791341,82.8687,-193.721,40.8732,40.8732,40.8732,-146.205,109.127,0,48
60.8813,0.31467,0.949201,11.8777,-37.3681,16.2649,6.48189,-0.472759,-0.104558,0.15925,0.215095,0.0387826,0.172201,0.054692,0.000128696,-0.00114339,0.00717668,0.000129336,-0.000507037,0.00244788,-5.89441,-4.26316,0,0,0,0.054692,-5.89441,-4.26316,60.8813,60.8813,60.8813,19.1575,75.7886,0,49
41.0778,0,-1,11.8777,-158.442,56.2537,12.5702,-0.423087,0.904902,-0.0303789,-0.479857,0.0114413,-0.0893236,0.874523,0.00130298,0.00113056,0.000959206,0.000186018,0.000131114,4.24944e-05,74.3424,-167.973,0,0,0,0.874523,74.3424,-167.973,41.0778,41.0778,41.0778,-124.07,108.922,0,50
6.11671,0,1,11.8777,-61.5315,58.374,4.95724,0.40809,0.140202,-0.414819,0.0633252,-0.0722558,0.254354,-0.274616,-0.000122787,0.000781393,-0.00535682,-0.000279955,0.00177428,-0.010402,-26.7034,14.7023,0,0,0,-0.274616,-26.7034,14.7023,6.11671,6.11671,6.11671,-20.225,-143.883,0,51
