sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
21.3339,11.8777,-84.5515,80.9922,15.5795,147.052,-0.726285,0.402928,0.00824673,0.00752752,-92.8916,0,-92.8916,1,133.209,-128.666,0,0
92.1834,11.8777,-54.1952,47.2877,15.0858,117.515,0.920002,0.850337,-0.0292247,-0.0073081,-2.57933,0,-2.57933,1,90.3797,43.6146,0,1
31.065,11.8777,-53.6173,52.274,9.2835,90.6362,-0.786229,0.350817,0.00334677,0.00265181,-59.9092,0,-59.9092,1,89.8242,-75.2294,0,2
3.93969,11.8777,-82.7946,57.7874,5.63959,180.542,-0.348409,-1.59461,0.0192623,0.00742509,111.891,0,111.891,1,-99.283,-62.7492,0,3
1.32771,11.8777,-137.827,94.8779,11.8277,298.059,-0.294896,-1.62719,0.00759951,0.00232059,196.292,0,196.292,1,-166.273,-92.0496,0,4
18.6172,11.8777,-60.1445,59.2337,12.0804,135.222,-1.11209,-0.308587,0.000839324,0.0108982,-47.3135,0,-47.3135,1,36.0001,-131.383,0,5
67.3453,11.8777,-80.1827,60.0882,20.844,177.523,0.705813,0.973452,-0.0305233,-0.0144593,-35.6428,0,-35.6428,1,122.273,82.6547,0,6
49.4431,11.8777,-49.5546,21.2123,8.24496,111.879,1.03568,0.33178,0.000316983,0.00897414,5.52781,0,5.52781,1,23.7646,100.557,0,7
77.7934,11.8777,-80.783,66.5562,21.7852,176.705,0.826104,0.89869,-0.000311607,-0.000167361,-17.6165,0,-17.6165,1,129.852,72.2066,0,8
94.208,11.8777,-61.3214,59.9954,18.471,129.554,0.945076,0.848381,-0.0234929,-0.00234674,4.67636,0,4.67636,1,111.483,36.5944,0,9
31.1633,11.8777,-22.1721,11.2477,4.39523,53.0525,0.929048,0.716921,-0.00594379,-0.0211825,-5.44601,0,-5.44601,1,23.1599,38.8511,0,10
7.25297,11.8777,-71.1899,70.5262,12.6745,142.37,-1.04838,-0.116521,0.00607093,0.0305599,-65.6431,0,-65.6431,1,63.0841,-142.747,0,11
